s,C,g/g,1/s,s,C,g/g,1/s,s,C,g/g,1/s,s,C,g/g,1/s,s,C,g/g,1/s,s,C,g/g,1/s,s,C,g/g,1/s,s,C,g/g,1/s
A-Time,A-Temperature,A-Mass,A-Mdot,B-Time,B-Temperature,B-Mass,B-Mdot,C-Time,C-Temperature,C-Mass,C-Mdot,D-Time,D-Temperature,D-Mass,D-Mdot,E-Time,E-Temperature,E-Mass,E-Mdot,F-Time,F-Temperature,F-Mass,F-Mdot,G-Time,G-Temperature,G-Mass,G-Mdot,H-Time,H-Temperature,H-Mass,H-Mdot
1423.4,274.7,0.7684,0.000380,1423.4,276.1,0.7861,0.000526,1734.8,177.4,0.4368,0.000031,1734.8,178.1,0.3734,0.000029,3717.4,297.1,0.6681,0.000183,394.1,110.5,0.9426,-0.000003,705.5,104.7,0.3871,0.000005,446.0,105.2,0.4354,0.000112
1431.7,276.1,0.7652,0.000384,1431.7,277.4,0.7817,0.000537,1744.9,179.1,0.4365,0.000032,1744.9,179.8,0.3731,0.000030,3738.9,298.4,0.6642,0.000186,396.4,111.9,0.9426,-0.000001,709.6,104.7,0.3871,0.000004,448.6,105.1,0.4351,0.000103
1439.9,277.4,0.7621,0.000388,1439.9,278.8,0.7773,0.000548,1754.9,180.7,0.4362,0.000034,1754.9,181.6,0.3728,0.000032,3760.4,299.6,0.6601,0.000189,398.6,113.5,0.9426,0.000002,713.6,104.7,0.3871,0.000004,451.1,105.0,0.4348,0.000095
1448.1,278.8,0.7589,0.000392,1448.1,280.1,0.7727,0.000560,1764.9,182.2,0.4358,0.000035,1764.9,183.3,0.3725,0.000033,3781.9,300.7,0.6560,0.000191,400.9,115.1,0.9426,0.000005,717.7,104.7,0.3871,0.000004,453.7,104.9,0.4346,0.000088
1456.4,280.2,0.7556,0.000396,1456.4,281.4,0.7680,0.000573,1775.0,183.9,0.4355,0.000036,1775.0,185.0,0.3722,0.000035,3803.4,301.9,0.6519,0.000195,403.2,116.9,0.9426,0.000008,721.8,104.6,0.3871,0.000004,456.3,104.8,0.4344,0.000082
1464.6,281.5,0.7523,0.000400,1464.6,282.8,0.7633,0.000586,1785.0,185.6,0.4351,0.000038,1785.0,186.6,0.3718,0.000036,3824.9,303.1,0.6477,0.000199,405.5,118.7,0.9426,0.000012,725.9,104.6,0.3870,0.000004,458.9,104.7,0.4341,0.000077
1472.8,282.9,0.7490,0.000404,1472.8,284.2,0.7584,0.000600,1795.0,187.3,0.4347,0.000040,1795.0,188.3,0.3714,0.000036,3846.4,304.5,0.6434,0.000201,407.8,120.6,0.9425,0.000015,730.0,104.5,0.3870,0.000004,461.5,104.7,0.4339,0.000073
1481.0,284.3,0.7457,0.000408,1481.0,285.7,0.7534,0.000615,1805.0,189.0,0.4343,0.000041,1805.0,190.0,0.3711,0.000037,3867.8,305.7,0.6390,0.000204,410.0,122.6,0.9425,0.000018,734.0,104.5,0.3870,0.000004,464.0,104.6,0.4337,0.000069
1489.3,285.7,0.7423,0.000412,1489.3,287.1,0.7483,0.000631,1815.1,190.7,0.4339,0.000043,1815.1,191.7,0.3707,0.000038,3889.3,306.8,0.6346,0.000207,412.3,124.5,0.9424,0.000021,738.1,104.5,0.3870,0.000004,466.6,104.6,0.4336,0.000065
1497.5,287.0,0.7389,0.000415,1497.5,288.5,0.7430,0.000647,1825.1,192.4,0.4334,0.000045,1825.1,193.3,0.3703,0.000039,3910.8,308.2,0.6301,0.000211,414.6,126.6,0.9424,0.000025,742.2,104.5,0.3870,0.000004,469.2,104.6,0.4334,0.000061
1505.7,288.4,0.7355,0.000419,1505.7,289.9,0.7376,0.000665,1835.1,194.0,0.4330,0.000046,1835.1,195.0,0.3699,0.000041,3932.3,309.4,0.6256,0.000214,416.9,128.7,0.9423,0.000028,746.3,104.6,0.3870,0.000004,471.8,104.6,0.4333,0.000058
1514.0,289.7,0.7320,0.000423,1514.0,291.3,0.7321,0.000684,1845.2,195.7,0.4325,0.000048,1845.2,196.6,0.3695,0.000041,3953.8,310.6,0.6209,0.000218,419.2,130.8,0.9422,0.000032,750.4,104.6,0.3869,0.000004,474.4,104.6,0.4331,0.000055
1522.2,291.0,0.7285,0.000429,1522.2,292.7,0.7264,0.000703,1855.2,197.4,0.4320,0.000049,1855.2,198.3,0.3691,0.000042,3975.3,311.9,0.6162,0.000223,421.4,132.9,0.9422,0.000036,754.4,104.7,0.3869,0.000003,476.9,104.6,0.4330,0.000052
1530.4,292.3,0.7250,0.000434,1530.4,294.1,0.7205,0.000724,1865.2,199.1,0.4315,0.000050,1865.2,200.1,0.3687,0.000043,3996.8,313.2,0.6113,0.000227,423.7,135.0,0.9421,0.000040,758.5,104.7,0.3869,0.000003,479.5,104.5,0.4328,0.000049
1538.6,293.6,0.7214,0.000440,1538.6,295.5,0.7145,0.000745,1875.2,200.8,0.4310,0.000051,1875.2,201.7,0.3682,0.000044,4018.3,314.4,0.6064,0.000232,426.0,137.2,0.9420,0.000044,762.6,104.7,0.3869,0.000003,482.1,104.5,0.4327,0.000047
1546.9,295.0,0.7177,0.000446,1546.9,296.9,0.7082,0.000767,1885.3,202.5,0.4305,0.000052,1885.3,203.4,0.3678,0.000044,4039.7,315.7,0.6014,0.000237,428.3,139.3,0.9419,0.000049,766.7,104.7,0.3869,0.000003,484.7,104.5,0.4326,0.000044
1555.1,296.3,0.7140,0.000452,1555.1,298.3,0.7018,0.000789,1895.3,204.2,0.4300,0.000053,1895.3,205.0,0.3673,0.000045,4061.2,317.0,0.5962,0.000243,430.5,141.5,0.9418,0.000054,770.7,104.8,0.3869,0.000003,487.2,104.5,0.4325,0.000042
1563.3,297.7,0.7103,0.000458,1563.3,299.7,0.6952,0.000812,1905.3,205.8,0.4294,0.000054,1905.3,206.6,0.3669,0.000046,4082.7,318.4,0.5909,0.000248,432.8,143.7,0.9416,0.000059,774.8,104.8,0.3869,0.000003,489.8,104.5,0.4324,0.000040
1571.5,299.0,0.7065,0.000465,1571.5,301.1,0.6885,0.000835,1915.3,207.4,0.4289,0.000055,1915.3,208.3,0.3664,0.000047,4104.2,319.6,0.5855,0.000253,435.1,145.9,0.9415,0.000065,778.9,104.8,0.3869,0.000003,492.4,104.5,0.4323,0.000038
1579.8,300.3,0.7026,0.000471,1579.8,302.6,0.6815,0.000857,1925.4,209.0,0.4283,0.000056,1925.4,210.0,0.3659,0.000049,4125.7,320.8,0.5801,0.000258,437.4,148.1,0.9413,0.000071,783.0,104.7,0.3868,0.000003,495.0,104.5,0.4322,0.000036
1588.0,301.6,0.6987,0.000478,1588.0,304.0,0.6744,0.000879,1935.4,210.7,0.4278,0.000057,1935.4,211.7,0.3654,0.000050,4147.2,322.0,0.5745,0.000263,439.7,150.3,0.9412,0.000077,787.1,104.7,0.3868,0.000003,497.6,104.5,0.4321,0.000034
1596.2,303.0,0.6947,0.000485,1596.2,305.4,0.6671,0.000900,1945.4,212.4,0.4272,0.000058,1945.4,213.4,0.3649,0.000051,4168.7,323.2,0.5688,0.000269,441.9,152.5,0.9410,0.000084,791.1,104.7,0.3868,0.000003,500.1,104.4,0.4320,0.000033
1604.5,304.3,0.6907,0.000492,1604.5,306.8,0.6596,0.000919,1955.5,214.0,0.4266,0.000058,1955.5,215.0,0.3644,0.000053,4190.2,324.6,0.5629,0.000274,444.2,154.7,0.9408,0.000091,795.2,104.7,0.3868,0.000003,502.7,104.4,0.4319,0.000031
1612.7,305.7,0.6867,0.000500,1612.7,308.2,0.6519,0.000938,1965.5,215.6,0.4260,0.000059,1965.5,216.7,0.3638,0.000055,4211.6,326.0,0.5570,0.000279,446.5,156.9,0.9406,0.000099,799.3,104.7,0.3868,0.000003,505.3,104.4,0.4318,0.000030
1620.9,307.1,0.6825,0.000508,1620.9,309.7,0.6441,0.000954,1975.5,217.3,0.4254,0.000060,1975.5,218.4,0.3633,0.000057,4233.1,327.1,0.5509,0.000284,448.8,159.2,0.9403,0.000107,803.4,104.7,0.3868,0.000003,507.9,104.4,0.4318,0.000028
1629.1,308.5,0.6783,0.000517,1629.1,311.1,0.6362,0.000970,1985.5,219.0,0.4248,0.000062,1985.5,220.1,0.3627,0.000060,4254.6,328.5,0.5448,0.000288,451.0,161.4,0.9401,0.000115,807.4,104.7,0.3868,0.000003,510.4,104.3,0.4317,0.000026
1637.4,309.9,0.6740,0.000526,1637.4,312.5,0.6282,0.000984,1995.6,220.7,0.4242,0.000064,1995.6,221.8,0.3621,0.000063,4276.1,329.8,0.5385,0.000293,453.3,163.6,0.9398,0.000125,811.5,104.7,0.3867,0.000003,513.0,104.3,0.4316,0.000025
1645.6,311.2,0.6696,0.000535,1645.6,314.0,0.6200,0.000996,2005.6,222.3,0.4235,0.000066,2005.6,223.5,0.3614,0.000066,4297.6,331.1,0.5322,0.000298,455.6,165.9,0.9395,0.000134,815.6,104.7,0.3867,0.000003,515.6,104.2,0.4316,0.000023
1653.8,312.6,0.6652,0.000544,1653.8,315.5,0.6118,0.001006,2015.6,224.0,0.4228,0.000069,2015.6,225.2,0.3608,0.000069,4319.1,332.2,0.5257,0.000302,457.9,168.1,0.9392,0.000145,819.7,104.7,0.3867,0.000003,518.2,104.2,0.4315,0.000021
1662.1,314.0,0.6607,0.000554,1662.1,316.9,0.6035,0.001013,2025.7,225.6,0.4221,0.000072,2025.7,226.9,0.3601,0.000073,4340.6,333.5,0.5192,0.000306,460.2,170.4,0.9389,0.000156,823.8,104.7,0.3867,0.000003,520.8,104.2,0.4315,0.000020
1670.3,315.4,0.6561,0.000563,1670.3,318.4,0.5951,0.001018,2035.7,227.3,0.4214,0.000075,2035.7,228.6,0.3593,0.000077,4362.1,334.8,0.5126,0.000310,462.4,172.7,0.9385,0.000167,827.8,104.7,0.3867,0.000003,523.3,104.2,0.4314,0.000018
1678.5,316.8,0.6514,0.000573,1678.5,319.7,0.5868,0.001020,2045.7,229.1,0.4206,0.000078,2045.7,230.3,0.3585,0.000081,4383.6,335.9,0.5059,0.000313,464.7,174.9,0.9381,0.000180,831.9,104.7,0.3867,0.000002,525.9,104.3,0.4314,0.000017
1686.7,318.1,0.6467,0.000582,1686.7,321.2,0.5784,0.001020,2055.7,230.7,0.4198,0.000081,2055.7,231.9,0.3577,0.000086,4405.0,337.2,0.4991,0.000316,467.0,177.2,0.9377,0.000192,836.0,104.7,0.3867,0.000002,528.5,104.6,0.4313,0.000016
1695.0,319.5,0.6418,0.000592,1695.0,322.7,0.5700,0.001016,2065.8,232.3,0.4190,0.000085,2065.8,233.5,0.3568,0.000090,4426.5,338.5,0.4923,0.000318,469.3,179.5,0.9372,0.000205,840.1,104.7,0.3867,0.000002,531.1,105.0,0.4313,0.000015
1703.2,320.9,0.6369,0.000601,1703.2,324.1,0.5616,0.001011,2075.8,234.0,0.4181,0.000089,2075.8,235.1,0.3559,0.000095,4448.0,339.8,0.4854,0.000320,471.5,181.7,0.9367,0.000219,844.1,104.7,0.3867,0.000002,533.6,105.6,0.4312,0.000015
1711.4,322.4,0.6319,0.000611,1711.4,325.6,0.5533,0.001002,2085.8,235.6,0.4172,0.000094,2085.8,236.8,0.3549,0.000101,4469.5,341.0,0.4786,0.000320,473.8,184.0,0.9362,0.000234,848.2,104.7,0.3867,0.000002,536.2,106.4,0.4312,0.000015
1719.7,323.8,0.6269,0.000622,1719.7,327.1,0.5451,0.000991,2095.9,237.3,0.4163,0.000099,2095.9,238.4,0.3538,0.000107,4491.0,342.0,0.4717,0.000319,476.1,186.3,0.9357,0.000249,852.3,104.8,0.3867,0.000002,538.8,107.5,0.4312,0.000015
1727.9,325.2,0.6217,0.000633,1727.9,328.6,0.5369,0.000982,2105.9,239.0,0.4152,0.000103,2105.9,240.1,0.3527,0.000113,4512.5,343.4,0.4649,0.000316,478.4,188.6,0.9351,0.000265,856.4,104.8,0.3866,0.000002,541.4,108.7,0.4311,0.000017
1736.1,326.6,0.6164,0.000644,1736.1,330.1,0.5289,0.000979,2115.9,240.6,0.4142,0.000108,2115.9,241.9,0.3516,0.000120,4534.0,344.8,0.4581,0.000312,480.7,190.9,0.9344,0.000281,860.5,104.8,0.3866,0.000002,544.0,110.2,0.4311,0.000018
1744.3,328.0,0.6111,0.000657,1744.3,331.6,0.5209,0.000990,2125.9,242.2,0.4131,0.000112,2125.9,243.6,0.3503,0.000125,4555.5,346.1,0.4515,0.000306,482.9,193.1,0.9338,0.000299,864.5,104.8,0.3866,0.000002,546.5,111.8,0.4311,0.000020
1752.6,329.4,0.6056,0.000670,1752.6,333.3,0.5128,0.001020,2136.0,243.8,0.4119,0.000117,2136.0,245.2,0.3490,0.000131,4576.9,347.4,0.4450,0.000299,485.2,195.4,0.9331,0.000317,868.6,104.9,0.3866,0.000002,549.1,113.6,0.4310,0.000022
1760.8,330.8,0.6001,0.000684,1760.8,335.1,0.5044,0.001066,2146.0,245.5,0.4108,0.000121,2146.0,246.9,0.3477,0.000136,4598.4,348.6,0.4387,0.000289,487.5,197.7,0.9323,0.000337,872.7,104.9,0.3866,0.000002,551.7,115.5,0.4309,0.000024
1769.0,332.2,0.5944,0.000699,1769.0,337.0,0.4955,0.001114,2156.0,247.2,0.4095,0.000125,2156.0,248.5,0.3463,0.000141,4619.9,349.8,0.4326,0.000277,489.8,200.0,0.9315,0.000358,876.8,104.8,0.3866,0.000002,554.3,117.6,0.4309,0.000027
1777.2,333.5,0.5886,0.000714,1777.2,338.9,0.4860,0.001141,2166.0,248.9,0.4082,0.000129,2166.0,250.3,0.3449,0.000145,4641.4,350.9,0.4268,0.000264,492.0,202.3,0.9307,0.000380,880.8,104.8,0.3866,0.000002,556.8,119.7,0.4308,0.000029
1785.5,334.8,0.5826,0.000728,1785.5,340.7,0.4763,0.001132,2176.1,250.6,0.4069,0.000132,2176.1,252.0,0.3434,0.000149,4662.9,352.3,0.4212,0.000249,494.3,204.6,0.9298,0.000404,884.9,104.8,0.3866,0.000002,559.4,121.9,0.4307,0.000031
1793.7,336.2,0.5766,0.000744,1793.7,342.1,0.4670,0.001082,2186.1,252.2,0.4056,0.000135,2186.1,253.6,0.3419,0.000152,4684.4,353.7,0.4161,0.000233,496.6,206.9,0.9289,0.000430,889.0,104.7,0.3866,0.000002,562.0,124.1,0.4306,0.000033
1801.9,337.6,0.5704,0.000759,1801.9,343.3,0.4584,0.001001,2196.1,253.9,0.4042,0.000137,2196.1,255.3,0.3404,0.000154,4705.9,355.0,0.4112,0.000216,498.9,209.2,0.9278,0.000458,893.1,104.7,0.3866,0.000002,564.6,126.4,0.4305,0.000035
1810.2,339.1,0.5641,0.000775,1810.2,344.3,0.4506,0.000904,2206.2,255.6,0.4028,0.000140,2206.2,257.0,0.3388,0.000156,4727.4,356.2,0.4068,0.000199,501.2,211.5,0.9268,0.000488,897.2,104.7,0.3866,0.000002,567.2,128.8,0.4304,0.000037
1818.4,340.5,0.5576,0.000792,1818.4,345.2,0.4437,0.000808,2216.2,257.2,0.4014,0.000142,2216.2,258.7,0.3372,0.000158,4748.8,357.4,0.4027,0.000182,503.4,213.8,0.9256,0.000521,901.2,104.7,0.3865,0.000002,569.7,131.1,0.4303,0.000039
1826.6,341.8,0.5511,0.000809,1826.6,346.2,0.4375,0.000724,2226.2,258.8,0.4000,0.000144,2226.2,260.4,0.3357,0.000159,4770.3,358.7,0.3990,0.000165,505.7,216.1,0.9244,0.000556,905.3,104.7,0.3865,0.000002,572.3,133.5,0.4302,0.000041
1834.8,343.2,0.5443,0.000826,1834.8,347.3,0.4319,0.000656,2236.2,260.5,0.3985,0.000146,2236.2,262.0,0.3341,0.000160,4791.8,359.8,0.3956,0.000150,508.0,218.4,0.9231,0.000593,909.4,104.7,0.3865,0.000002,574.9,136.0,0.4301,0.000042
1843.1,344.6,0.5375,0.000843,1843.1,348.4,0.4268,0.000604,2246.3,262.2,0.3971,0.000148,2246.3,263.7,0.3324,0.000162,4813.3,361.0,0.3925,0.000136,510.3,220.7,0.9217,0.000634,913.5,104.7,0.3865,0.000002,577.5,138.4,0.4300,0.000043
1851.3,346.0,0.5304,0.000860,1851.3,349.6,0.4220,0.000564,2256.3,263.9,0.3956,0.000150,2256.3,265.4,0.3308,0.000163,4834.8,362.3,0.3897,0.000124,512.5,223.0,0.9202,0.000678,917.5,104.6,0.3865,0.000002,580.0,140.9,0.4299,0.000044
1859.5,347.4,0.5233,0.000877,1859.5,350.8,0.4174,0.000532,2266.3,265.6,0.3940,0.000152,2266.3,267.1,0.3292,0.000164,4856.3,363.6,0.3872,0.000114,514.8,225.3,0.9186,0.000726,921.6,104.6,0.3865,0.000002,582.6,143.4,0.4298,0.000045
1867.8,348.8,0.5160,0.000893,1867.8,352.0,0.4131,0.000506,2276.4,267.3,0.3925,0.000155,2276.4,268.8,0.3275,0.000166,4877.8,364.8,0.3848,0.000105,517.1,227.6,0.9169,0.000778,925.7,104.6,0.3865,0.000002,585.2,145.9,0.4297,0.000046
1876.0,350.2,0.5086,0.000909,1876.0,353.1,0.4091,0.000483,2286.4,269.0,0.3909,0.000157,2286.4,270.4,0.3258,0.000168,4899.3,366.1,0.3826,0.000098,519.4,229.9,0.9151,0.000834,929.8,104.6,0.3865,0.000002,587.8,148.4,0.4296,0.000047
1884.2,351.6,0.5011,0.000925,1884.2,354.3,0.4052,0.000461,2296.4,270.7,0.3894,0.000159,2296.4,272.1,0.3242,0.000169,4920.8,367.4,0.3806,0.000092,521.7,232.2,0.9131,0.000894,933.9,104.6,0.3865,0.000002,590.4,150.9,0.4294,0.000048
1892.4,353.0,0.4934,0.000938,1892.4,355.6,0.4014,0.000441,2306.4,272.4,0.3878,0.000162,2306.4,273.8,0.3224,0.000171,4942.2,368.6,0.3787,0.000088,523.9,234.5,0.9110,0.000959,937.9,104.6,0.3865,0.000002,592.9,153.5,0.4293,0.000049
1900.7,354.3,0.4856,0.000949,1900.7,357.0,0.3979,0.000422,2316.5,274.1,0.3861,0.000165,2316.5,275.4,0.3207,0.000173,4963.7,369.9,0.3768,0.000084,526.2,236.7,0.9088,0.001028,942.0,104.6,0.3865,0.000002,595.5,156.0,0.4292,0.000051
1908.9,355.7,0.4778,0.000957,1908.9,358.3,0.3945,0.000405,2326.5,275.7,0.3844,0.000168,2326.5,277.0,0.3190,0.000175,4985.2,371.2,0.3750,0.000080,528.5,239.0,0.9064,0.001101,946.1,104.6,0.3865,0.000001,598.1,158.5,0.4290,0.000053
1917.1,357.1,0.4699,0.000960,1917.1,359.5,0.3912,0.000389,2336.5,277.3,0.3827,0.000171,2336.5,278.7,0.3172,0.000177,5006.7,372.4,0.3734,0.000078,530.8,241.3,0.9039,0.001177,950.2,104.6,0.3865,0.000001,600.7,161.1,0.4289,0.000055
1925.4,358.4,0.4620,0.000957,1925.4,360.8,0.3881,0.000376,2346.6,279.0,0.3810,0.000175,2346.6,280.5,0.3154,0.000180,5028.2,373.7,0.3717,0.000076,533.1,243.5,0.9011,0.001256,954.3,104.6,0.3865,0.000002,603.3,163.6,0.4288,0.000058
1933.6,359.8,0.4542,0.000947,1933.6,362.1,0.3851,0.000364,2356.6,280.6,0.3792,0.000178,2356.6,282.1,0.3136,0.000183,5049.7,375.0,0.3701,0.000075,535.3,245.8,0.8982,0.001338,958.3,104.6,0.3864,0.000002,605.8,166.1,0.4286,0.000061
1941.8,361.3,0.4464,0.000929,1941.8,363.5,0.3821,0.000354,2366.6,282.2,0.3774,0.000181,2366.6,283.8,0.3118,0.000186,5071.2,376.1,0.3685,0.000073,537.6,248.1,0.8950,0.001420,962.4,104.7,0.3864,0.000002,608.4,168.7,0.4285,0.000065
1950.0,362.7,0.4389,0.000905,1950.0,364.9,0.3792,0.000345,2376.6,283.8,0.3756,0.000184,2376.6,285.5,0.3099,0.000190,5092.7,377.3,0.3669,0.000072,539.9,250.3,0.8917,0.001503,966.5,104.7,0.3864,0.000002,611.0,171.2,0.4283,0.000070
1958.3,364.1,0.4316,0.000873,1958.3,366.3,0.3764,0.000338,2386.7,285.5,0.3738,0.000187,2386.7,287.2,0.3079,0.000194,5114.1,378.5,0.3654,0.000072,542.2,252.6,0.8881,0.001586,970.6,104.7,0.3864,0.000002,613.6,173.8,0.4281,0.000075
1966.5,365.5,0.4245,0.000834,1966.5,367.6,0.3737,0.000333,2396.7,287.1,0.3719,0.000190,2396.7,288.9,0.3060,0.000198,5135.6,379.8,0.3638,0.000071,544.4,254.9,0.8844,0.001668,974.6,104.7,0.3864,0.000002,616.1,176.4,0.4279,0.000081
1974.7,366.9,0.4178,0.000790,1974.7,369.0,0.3709,0.000329,2406.7,288.8,0.3699,0.000193,2406.7,290.5,0.3040,0.000201,5157.1,381.0,0.3623,0.000071,546.7,257.2,0.8805,0.001748,978.7,104.7,0.3864,0.000002,618.7,179.0,0.4277,0.000088
1982.9,368.3,0.4115,0.000740,1982.9,370.4,0.3683,0.000326,2416.7,290.4,0.3680,0.000195,2416.7,292.2,0.3019,0.000205,5178.6,382.4,0.3608,0.000070,549.0,259.5,0.8764,0.001826,982.8,104.7,0.3864,0.000002,621.3,181.6,0.4274,0.000095
1991.2,369.7,0.4057,0.000686,1991.2,371.7,0.3656,0.000325,2426.8,292.1,0.3660,0.000198,2426.8,293.8,0.2999,0.000210,5200.1,383.7,0.3593,0.000069,551.3,261.8,0.8721,0.001901,986.9,104.7,0.3864,0.000002,623.9,184.2,0.4272,0.000102
1999.4,371.0,0.4002,0.000631,1999.4,373.0,0.3629,0.000324,2436.8,293.7,0.3640,0.000201,2436.8,295.4,0.2977,0.000215,5221.6,384.9,0.3578,0.000069,553.6,264.1,0.8677,0.001974,991.0,104.7,0.3864,0.000002,626.5,186.8,0.4269,0.000111
2007.6,372.4,0.3953,0.000575,2007.6,374.4,0.3602,0.000324,2446.8,295.4,0.3620,0.000203,2446.8,297.1,0.2956,0.000219,5243.1,386.1,0.3564,0.000068,555.8,266.5,0.8631,0.002044,995.0,104.7,0.3864,0.000002,629.0,189.4,0.4266,0.000119
2015.9,373.7,0.3908,0.000522,2015.9,375.7,0.3576,0.000325,2456.9,297.0,0.3600,0.000206,2456.9,298.8,0.2933,0.000225,5264.6,387.2,0.3549,0.000068,558.1,268.8,0.8584,0.002112,999.1,104.7,0.3864,0.000002,631.6,192.0,0.4263,0.000128
2024.1,375.0,0.3867,0.000471,2024.1,377.0,0.3549,0.000326,2466.9,298.6,0.3579,0.000208,2466.9,300.5,0.2910,0.000230,5286.0,388.5,0.3534,0.000068,560.4,271.1,0.8535,0.002176,1003.2,104.7,0.3864,0.000002,634.2,194.5,0.4260,0.000138
2032.3,376.4,0.3830,0.000425,2032.3,378.3,0.3522,0.000327,2476.9,300.2,0.3558,0.000210,2476.9,302.2,0.2887,0.000235,5307.5,389.8,0.3520,0.000067,562.7,273.4,0.8485,0.002238,1007.3,104.7,0.3863,0.000002,636.8,197.1,0.4256,0.000147
2040.5,377.7,0.3797,0.000383,2040.5,379.7,0.3495,0.000329,2486.9,301.8,0.3537,0.000212,2486.9,303.9,0.2863,0.000240,5329.0,391.0,0.3505,0.000067,564.9,275.7,0.8433,0.002297,1011.3,104.7,0.3863,0.000002,639.3,199.7,0.4252,0.000157
2048.8,379.0,0.3767,0.000346,2048.8,381.1,0.3468,0.000332,2497.0,303.4,0.3515,0.000214,2497.0,305.5,0.2839,0.000246,5350.5,392.2,0.3491,0.000067,567.2,278.0,0.8380,0.002353,1015.4,104.7,0.3863,0.000001,641.9,202.3,0.4248,0.000167
2057.0,380.3,0.3740,0.000315,2057.0,382.5,0.3441,0.000335,2507.0,305.1,0.3494,0.000216,2507.0,307.2,0.2814,0.000253,5372.0,393.5,0.3476,0.000067,569.5,280.4,0.8326,0.002407,1019.5,104.7,0.3863,0.000001,644.5,204.9,0.4243,0.000177
2065.2,381.7,0.3715,0.000289,2065.2,383.9,0.3413,0.000339,2517.0,306.8,0.3472,0.000218,2517.0,308.9,0.2788,0.000260,5393.5,394.7,0.3462,0.000067,571.8,282.7,0.8270,0.002457,1023.6,104.7,0.3863,0.000002,647.1,207.5,0.4239,0.000187
2073.5,383.0,0.3693,0.000268,2073.5,385.3,0.3385,0.000343,2527.1,308.5,0.3450,0.000221,2527.1,310.6,0.2762,0.000268,5415.0,396.0,0.3448,0.000067,574.1,285.0,0.8214,0.002504,1027.7,104.7,0.3863,0.000002,649.7,210.1,0.4234,0.000197
2081.7,384.4,0.3671,0.000251,2081.7,386.7,0.3356,0.000348,2537.1,310.2,0.3428,0.000223,2537.1,312.3,0.2734,0.000277,5436.5,397.3,0.3433,0.000067,576.3,287.2,0.8156,0.002549,1031.7,104.7,0.3863,0.000002,652.2,212.7,0.4228,0.000207
2089.9,385.8,0.3651,0.000238,2089.9,388.1,0.3327,0.000353,2547.1,311.8,0.3405,0.000225,2547.1,314.1,0.2706,0.000286,5458.0,398.4,0.3419,0.000066,578.6,289.5,0.8098,0.002590,1035.8,104.7,0.3863,0.000001,654.8,215.3,0.4223,0.000217
2098.1,387.2,0.3632,0.000227,2098.1,389.6,0.3298,0.000358,2557.1,313.5,0.3383,0.000227,2557.1,315.8,0.2677,0.000296,5479.4,399.7,0.3405,0.000066,580.9,291.8,0.8038,0.002628,1039.9,104.7,0.3863,0.000001,657.4,217.9,0.4217,0.000228
2106.4,388.6,0.3614,0.000219,2106.4,391.0,0.3269,0.000363,2567.2,315.2,0.3360,0.000229,2567.2,317.6,0.2647,0.000306,5500.9,401.0,0.3390,0.000066,583.2,294.1,0.7978,0.002662,1044.0,104.7,0.3863,0.000001,660.0,220.5,0.4211,0.000240
2114.6,390.0,0.3596,0.000212,2114.6,392.4,0.3238,0.000368,2577.2,316.9,0.3337,0.000230,2577.2,319.3,0.2616,0.000315,5522.4,402.3,0.3376,0.000065,585.4,296.4,0.7916,0.002694,1048.0,104.7,0.3863,0.000001,662.5,223.1,0.4204,0.000252
2122.8,391.4,0.3579,0.000207,2122.8,393.8,0.3208,0.000374,2587.2,318.5,0.3313,0.000232,2587.2,321.0,0.2584,0.000324,5543.9,403.4,0.3362,0.000065,587.7,298.6,0.7855,0.002723,1052.1,104.7,0.3863,0.000001,665.1,225.7,0.4197,0.000266
2131.1,392.8,0.3562,0.000204,2131.1,395.1,0.3177,0.000381,2597.3,320.3,0.3290,0.000233,2597.3,322.8,0.2551,0.000332,5565.4,404.7,0.3348,0.000066,590.0,300.9,0.7792,0.002750,1056.2,104.7,0.3863,0.000001,667.7,228.3,0.4190,0.000281
2139.3,394.2,0.3545,0.000201,2139.3,396.5,0.3145,0.000388,2607.3,322.1,0.3267,0.000234,2607.3,324.5,0.2517,0.000340,5586.9,405.8,0.3334,0.000065,592.3,303.2,0.7729,0.002774,1060.3,104.7,0.3863,0.000001,670.3,230.9,0.4183,0.000298
2147.5,395.6,0.3529,0.000198,2147.5,397.9,0.3113,0.000395,2617.3,323.8,0.3243,0.000235,2617.3,326.2,0.2482,0.000347,5608.4,407.2,0.3320,0.000064,594.6,305.4,0.7665,0.002796,1064.4,104.7,0.3863,0.000001,672.9,233.5,0.4175,0.000319
2155.7,396.8,0.3512,0.000196,2155.7,399.3,0.3080,0.000403,2627.3,325.5,0.3220,0.000236,2627.3,327.9,0.2447,0.000354,5629.9,408.5,0.3307,0.000063,596.8,307.7,0.7601,0.002818,1068.4,104.6,0.3863,0.000001,675.4,236.1,0.4167,0.000342
2164.0,398.2,0.3496,0.000195,2164.0,400.8,0.3047,0.000411,2637.4,327.2,0.3196,0.000236,2637.4,329.7,0.2412,0.000360,5651.3,409.7,0.3293,0.000062,599.1,310.0,0.7537,0.002838,1072.5,104.7,0.3863,0.000002,678.0,238.7,0.4158,0.000369
